Country,Latitude,Longitude,bcm,Year,MMscfd,Field  Type,Field Name,Field  Operator,state,Flare Level,flaring_vol_m3,carbon_emissions_ton,estimated_regulatory_fine_usd,operators_per_country,operator_global_rank,location_global_rank,previous_year_flare,yoy_percentage_change
Nigeria,5.6735,5.2746,0.059,2012,5.71,OIL,Abiteye,Chevron,ONSHORE,Medium,59.02,141648.0,206570.0,539,13,1,,
Nigeria,5.4361,5.14,0.056,2016,5.434,OIL,Meji,Chevron,OFFSHORE,Medium,56.17,134808.0,196595.0,539,13,2,147154.2,-3.97
Nigeria,5.7838,5.4285,0.046,2016,4.429,OIL,Makaraba,Chevron,ONSHORE,Small,45.77,109848.00000000001,160195.0,539,13,1,147154.2,-3.97
Nigeria,4.3264,5.8213,0.064,2016,6.179,OIL,Funiwa,Chevron,OFFSHORE,Medium,63.86,153264.0,223510.0,539,13,2,147154.2,-3.97
Nigeria,5.8169,5.2012,0.03,2016,2.864,OIL,Dibi,Chevron,ONSHORE,Small,29.61,71064.0,103635.0,539,13,1,147154.2,-3.97
Nigeria,5.8608,5.1331,0.006,2014,0.596,OIL,Benin River,Chevron,ONSHORE,Small,6.16,14784.0,21560.0,539,13,1,140119.37,3.48
Nigeria,5.686,5.0533,0.11,2014,10.602,OIL,Delta,Chevron,OFFSHORE,Medium,109.58,262992.0,383530.0,539,13,2,140119.37,3.48
Nigeria,5.6006,5.109,0.049,2014,4.769,OIL,Delta South,Chevron,OFFSHORE,Small,49.29,118296.0,172515.0,539,13,2,140119.37,3.48
Nigeria,5.8172,5.2008,0.017,2014,1.615,OIL,Dibi,Chevron,ONSHORE,Small,16.69,40056.0,58415.000000000007,539,13,1,140119.37,3.48
Nigeria,5.8701,4.9396,0.0,2014,0.0,OIL,Ewan,Chevron,OFFSHORE,Small,0.0,0.0,0.0,539,13,2,140119.37,3.48
Nigeria,4.3267,5.8215,0.068,2014,6.606,OIL,Funiwa,Chevron,OFFSHORE,Medium,68.27,163848.0,238945.0,539,13,2,140119.37,3.48
Nigeria,5.784,5.4284,0.061,2014,5.931,OIL,Makaraba,Chevron,ONSHORE,Medium,61.3,147120.0,214550.0,539,13,1,140119.37,3.48
Nigeria,5.8283,4.7971,0.049,2014,4.708,OIL,Malu,Chevron,OFFSHORE,Small,48.66,116783.99999999999,170310.0,539,13,2,140119.37,3.48
Nigeria,5.4364,5.1404,0.066,2014,6.343,OIL,Meji,Chevron,OFFSHORE,Medium,65.56,157344.0,229460.0,539,13,2,140119.37,3.48
Nigeria,5.7774,4.889,0.064,2014,6.154,OIL,Meren,Chevron,OFFSHORE,Medium,63.6,152640.0,222600.0,539,13,2,140119.37,3.48
Nigeria,5.6001,5.1091,0.049,2016,4.7,OIL,Delta South,Chevron,OFFSHORE,Small,48.58,116592.0,170030.0,539,13,2,147154.2,-3.97
Nigeria,5.8601,5.133,0.033,2016,3.21,OIL,Benin River,Chevron,ONSHORE,Small,33.18,79632.0,116130.0,539,13,1,147154.2,-3.97
Nigeria,5.7178,5.0046,0.017,2015,1.663,OIL,Tapa,Chevron,OFFSHORE,Small,17.18,41232.0,60130.0,539,13,2,144991.55,1.49
Nigeria,5.8815,4.8344,0.097,2015,9.349,OIL,Parabe,Chevron,OFFSHORE,Medium,96.62,231888.0,338170.0,539,13,2,144991.55,1.49
Nigeria,5.9161,5.0162,0.001,2015,0.054,OIL,Opuekeba,Chevron,ONSHORE,Small,0.56,1344.0000000000002,1960.0,539,13,1,144991.55,1.49
Nigeria,5.7386,4.7259,0.033,2015,3.24,OIL,Opolo,Chevron,OFFSHORE,Small,33.49,80376.0,117215.00000000001,539,13,2,144991.55,1.49
Nigeria,3.4669,5.5611,0.10778,2024,10.428,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,107.78,258672.0,377230.0,539,13,2,147624.76,2.29
Nigeria,5.538,5.0915,0.019,2015,1.883,OIL,Okan,Chevron,OFFSHORE,Small,19.46,46704.0,68110.0,539,13,2,144991.55,1.49
Nigeria,5.5742,5.0588,0.019,2015,1.872,OIL,Okan,Chevron,OFFSHORE,Small,19.35,46440.0,67725.0,539,13,2,144991.55,1.49
Nigeria,5.5597,5.0726,0.036,2015,3.513,OIL,Okan,Chevron,OFFSHORE,Small,36.31,87144.0,127085.0,539,13,2,144991.55,1.49
Nigeria,4.3673,5.7916,0.0,2015,0.0,OIL,North Apoi,Chevron,OFFSHORE,Small,0.0,0.0,0.0,539,13,2,144991.55,1.49
Nigeria,5.7588,4.9238,0.019,2015,1.808,OIL,Meren,Chevron,OFFSHORE,Small,18.69,44856.0,65415.0,539,13,2,144991.55,1.49
Nigeria,5.7774,4.889,0.04,2015,3.897,OIL,Meren,Chevron,OFFSHORE,Small,40.28,96672.0,140980.0,539,13,2,144991.55,1.49
Nigeria,3.4654,5.5611,0.175,2016,16.962,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,175.32,420768.0,613620.0,539,13,2,147154.2,-3.97
Nigeria,5.6728,5.2748,0.016,2016,1.525,OIL,Abiteye,Chevron,ONSHORE,Small,15.76,37824.0,55160.0,539,13,1,147154.2,-3.97
Nigeria,5.4364,5.1404,0.044,2015,4.281,OIL,Meji,Chevron,OFFSHORE,Small,44.24,106176.0,154840.0,539,13,2,144991.55,1.49
Nigeria,5.8283,4.7971,0.041,2015,3.966,OIL,Malu,Chevron,OFFSHORE,Small,40.99,98376.0,143465.0,539,13,2,144991.55,1.49
Nigeria,5.6735,5.2746,0.034,2013,3.244,OIL,Abiteye,Chevron,ONSHORE,Small,33.53,80472.0,117355.0,539,13,1,143266.91,-2.2
Nigeria,3.4659,5.5612,0.08,2013,7.763,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,80.24,192576.0,280840.0,539,13,2,143266.91,-2.2
Nigeria,5.8608,5.1331,0.058,2013,5.587,OIL,Benin River,Chevron,ONSHORE,Medium,57.75,138600.0,202125.0,539,13,1,143266.91,-2.2
Nigeria,5.686,5.0533,0.123,2013,11.914,OIL,Delta,Chevron,OFFSHORE,Medium,123.14,295536.0,430990.0,539,13,2,143266.91,-2.2
Nigeria,5.6006,5.109,0.059,2013,5.702,OIL,Delta South,Chevron,OFFSHORE,Medium,58.93,141432.0,206255.0,539,13,2,143266.91,-2.2
Nigeria,5.8172,5.2008,0.078,2013,7.566,OIL,Dibi,Chevron,ONSHORE,Medium,78.2,187680.0,273700.0,539,13,1,143266.91,-2.2
Nigeria,5.784,5.4284,0.057,2015,5.516,OIL,Makaraba,Chevron,ONSHORE,Medium,57.01,136824.0,199535.0,539,13,1,144991.55,1.49
Nigeria,5.8701,4.9396,0.049,2013,4.757,OIL,Ewan,Chevron,OFFSHORE,Small,49.16,117983.99999999999,172060.0,539,13,2,143266.91,-2.2
Nigeria,4.3267,5.8215,0.072,2013,6.926,OIL,Funiwa,Chevron,OFFSHORE,Medium,71.58,171792.0,250530.0,539,13,2,143266.91,-2.2
Nigeria,4.3267,5.8215,0.059,2015,5.713,OIL,Funiwa,Chevron,OFFSHORE,Medium,59.04,141696.0,206640.0,539,13,2,144991.55,1.49
Nigeria,5.8701,4.9396,0.0,2015,0.0,OIL,Ewan,Chevron,OFFSHORE,Small,0.0,0.0,0.0,539,13,2,144991.55,1.49
Nigeria,5.784,5.4284,0.059,2013,5.674,OIL,Makaraba,Chevron,ONSHORE,Medium,58.64,140736.0,205240.0,539,13,1,143266.91,-2.2
Nigeria,5.686,5.0533,0.053,2015,5.101,OIL,Delta,Chevron,OFFSHORE,Medium,52.72,126528.0,184520.0,539,13,2,144991.55,1.49
Nigeria,5.8283,4.7971,0.02,2013,1.966,OIL,Malu,Chevron,OFFSHORE,Small,20.32,48768.0,71120.0,539,13,2,143266.91,-2.2
Nigeria,5.4364,5.1404,0.079,2013,7.69,OIL,Meji,Chevron,OFFSHORE,Medium,79.48,190752.0,278180.0,539,13,2,143266.91,-2.2
Nigeria,3.4659,5.5612,0.124,2015,12.012,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,124.15,297960.0,434525.0,539,13,2,144991.55,1.49
Nigeria,5.6735,5.2746,0.003,2015,0.293,OIL,Abiteye,Chevron,ONSHORE,Small,3.03,7271.9999999999991,10605.0,539,13,1,144991.55,1.49
Nigeria,5.6733,5.2747,0.01,2017,0.989,OIL,Abiteye,Chevron,ONSHORE,Small,10.22,24528.0,35770.0,539,13,1,141317.04,-0.42
Nigeria,3.4656,5.5614,0.468,2017,45.321,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,468.42,1124208.0,1639470.0,539,13,2,141317.04,-0.42
Nigeria,5.8606,5.1332,0.016,2017,1.58,OIL,Benin River,Chevron,ONSHORE,Small,16.33,39191.999999999993,57154.999999999993,539,13,1,141317.04,-0.42
Nigeria,5.6005,5.109,0.045,2017,4.389,OIL,Delta South,Chevron,OFFSHORE,Small,45.36,108864.0,158760.0,539,13,2,141317.04,-0.42
Nigeria,5.8171,5.201,0.005,2017,0.519,OIL,Dibi,Chevron,ONSHORE,Small,5.37,12888.0,18795.0,539,13,1,141317.04,-0.42
Nigeria,5.7588,4.9238,0.031,2014,3.031,OIL,Meren,Chevron,OFFSHORE,Small,31.33,75192.0,109655.0,539,13,2,140119.37,3.48
Nigeria,4.3266,5.8215,0.057,2017,5.549,OIL,Funiwa,Chevron,OFFSHORE,Medium,57.35,137640.0,200725.0,539,13,2,141317.04,-0.42
Nigeria,5.7839,5.4284,0.054,2017,5.178,OIL,Makaraba,Chevron,ONSHORE,Medium,53.52,128448.00000000001,187320.0,539,13,1,141317.04,-0.42
Nigeria,5.4364,5.1403,0.029,2017,2.773,OIL,Meji,Chevron,OFFSHORE,Small,28.66,68784.0,100310.0,539,13,2,141317.04,-0.42
Nigeria,5.7766,4.8892,0.062,2017,5.979,OIL,Meren,Chevron,OFFSHORE,Medium,61.8,148320.0,216300.0,539,13,2,141317.04,-0.42
